id;bezeichnung;preis;einheit
haus_tacker_20_2_wlg045;Tackerplatte 20-2 mm WLG045;9,99;je m²
haus_tacker_30_3_wlg045;Tackerplatte 30-3 mm WLG045;9,99;je m²
haus_tacker_30_2_wlg040;Tackerplatte 30-2 mm WLG040;9,99;je m²
haus_tacker_30_wlg035;Tackerplatte 30 mm WLG035;9,99;je m²
haus_hohlkammer_2mm;2 mm Hohlkammer-Platte;9,99;je m²
haus_nur_rohr_bauseits;nur Rohr, Dämmung komplett bauseits;9,99;je m²
haus_rohr_xc;Xc-/Xa-Rohr 16/17x2 mm;9,99;je m²
haus_rohr_alu;Metall/Aluverbundrohr 16x2 mm;9,99;je m²
roth_verbund_20_2_wlg035;Verbundplatte 20-2 mm WLG 035;9,99;je m²
roth_verbund_20_2_wlg040;Verbundplatte 20-2 mm WLG 040;9,99;je m²
roth_verbund_30_2_wlg040;Verbundplatte 30-2 mm WLG 040;9,99;je m²
roth_verbund_30_3_wlg045;Verbundplatte 30-3 mm WLG 045;9,99;je m²
roth_hohlkammer_2mm;2 mm Hohlkammer-Platte;9,99;je m²
roth_nur_rohr_bauseits;nur Rohr, Dämmung komplett bauseits;9,99;je m²
roth_xpert;X-PERT S5+ 17 mm;9,99;je m²
roth_duoplex;DUOPEX S5 17 mm;9,99;je m²
uponor_tacker_20_2_wlg040;Tackerplatte 20-2 mm WLG 040;9,99;je m²
uponor_tacker_30_2_wlg040;Tackerplatte 30-2 mm WLG 040;9,99;je m²
uponor_tacker_30_3_wlg045;Tackerplatte 30-3 mm WLG 045;9,99;je m²
uponor_tacker_35_3_wlg045; Tackerplatte 35-3 mm WLG 045;9,99;je m²
uponor_nur_rohr_bauseits;nur Rohr, Dämmung komplett bauseits;9,99;je m²
uponor_rohr_alu;MLCP Red Aluverbundrohr 16x2 mm;9,99;je m²
uponor_rohr_xa;Comfort Pipe Plus Xa-Rohr 17x2 mm;9,99;je m²
haus_klett;Komplettpreis Klettsystem Hausmarke;9,99;je m²
uponor_klett;Komplettpreis Klettsystem Uponor;9,99;je m²
unterdaemmung_20_035_100;EPS-Platten 20 mm in WLG035;9,99;je m²
unterdaemmung_30_035_100;EPS-Platten 30 mm in WLG035;9,99;je m²
unterdaemmung_40_035_100;EPS-Platten 40 mm in WLG035;9,99;je m²
unterdaemmung_50_035_100;EPS-Platten 50 mm in WLG035;9,99;je m²
unterdaemmung_60_035_100;EPS-Platten 60 mm in WLG035;9,99;je m²
unterdaemmung_70_035_100;EPS-Platten 70 mm in WLG035;9,99;je m²
unterdaemmung_80_035_100;EPS-Platten 80 mm in WLG035;9,99;je m²
unterdaemmung_90_035_100;EPS-Platten 90 mm in WLG035;9,99;je m²
unterdaemmung_100_035_100;EPS-Platten 100 mm in WLG035;9,99;je m²
fraes_bis_29;Frässystem mit 10 cm VA bis 29 m²;9,99;pauschal
fraes_bis_49;Frässystem mit 10 cm VA bis 49 m²;9,99;je m²
fraes_ab_50;Frässystem mit 10 cm VA ab 50 m²;9,99;je m²
baustelleneinrichtung;Baustelleneinrichtung;9,99;pro Einsatz
etagenzuschuss;Etagenzuschuss;9,99;pauschal
entsorgungskosten;Entsorgungskosten;9,99;pauschal
stromgenerator;Stromgenerator;9,99;pauschal
versiegelung;Versiegelungspauschale;9,99;je m²
haus_trocken_25_system;25 mm Systemplatte;9,99;je m²
haus_trocken_25_estrich;Einbauhöhe 25 mm;9,99;je m²
norit_trocken_te20;NORIT-TE 20 Therm-Element, 1200 x 600 x 20 mm;9,99;je m²
norit_trocken_te30;NORIT-TE 30 Therm-Element, 1200 x 600 x 30 mm;9,99;je m²
xps_trocken_500;Komplettpreis XPS 500 Trockenbauplatte;9,99;je m²
estrich_69;Flächen von 10 bis 69 m²;9,99;pauschal
estrich_109;Flächen von 70 bis 109 m²;9,99;pauschal
estrich_119;Flächen von 110 bis 119 m²;9,99;je m²
estrich_149;Flächen von 120 bis 149 m²;9,99;je m²
estrich_150;Flächen ab 150 m²;9,99;je m²
